Fermi_fig17_pi0_x,Fermi_fig17_pi0_y,Fermi_fig17_total_x,Fermi_fig17_total_y,Fermi_fig17_data_x,Fermi_fig17_data_y
0.2069723279,1.65362204238139E-05,0.2093506516,3.33035341530347E-05,0.2382589263,3.17243518305155E-05
0.2254901254,1.78242704693564E-05,0.2229284496,0.000034197,0.3766658821,3.77226045872993E-05
0.2401146769,1.86941961006319E-05,0.2373868592,3.50911313601397E-05,0.5984793642,4.04801711315381E-05
0.2491984362,1.90123711616048E-05,0.2527829939,3.56175930362433E-05,0.9461419184,3.94548392742063E-05
0.275399468,1.96976239225864E-05,0.2691776715,3.59848542137959E-05,1.5033121944,3.65320543177203E-05
0.2932609761,2.01525594122E-05,0.2866356543,3.64522761471039E-05,2.3766010472,3.03315183106895E-05
0.3060989907,2.0448134434161E-05,0.3052259046,3.6876924468074E-05,3.7761495033,2.36188665816839E-05
0.3382826173,2.12272405789044E-05,0.3250218578,3.73312186071389E-05,5.9697519236,1.79259381710654E-05
0.3602225206,2.17103185247368E-05,0.3461017116,3.78787508353757E-05,9.4852587008,1.30915673241073E-05
0.3759918945,2.20323861467564E-05,0.3622862714,3.84673961694038E-05,14.9953388564,9.87254153082751E-06
0.4179047268,2.23001174261996E-05,0.3969612707,3.88691869728442E-05,23.8258926299,7.73712097134227E-06
0.4450086596,2.24407694644636E-05,0.4227068794,0.000039257,37.6665882092,6.02482296061255E-06
0.4658183494,2.25434831024469E-05,0.450122264,3.97669080723977E-05,59.8479364157,5.00223793491517E-06
0.5192253658,2.27774415707022E-05,0.4793157208,4.02301699733822E-05,94.614191844,3.97087114006785E-06
0.5529006235,2.29286904450667E-05,0.5104025696,4.07122987812302E-05,,
0.5787556046,0.000023058,0.5435056097,4.13367699220948E-05,,
0.6451111058,2.2943870461331E-05,0.5787556046,4.18875690906501E-05,,
0.6869509006,2.2792521452143E-05,0.6162917988,4.19569330326697E-05,,
0.7190743995,2.27082025188924E-05,0.6562624677,4.14737869617221E-05,,
0.8015177345,2.24630586324195E-05,0.6988255034,4.10233461302134E-05,,
0.8535015513,0.000022337,0.7441490382,4.06584448410116E-05,,
0.8934133646,2.22661975901318E-05,0.7924121092,4.0283456644262E-05,,
0.9901722192,2.17534672460555E-05,0.8438053649,3.99119269208566E-05,,
1.0543915484,2.12905549355753E-05,0.8959689368,3.96329069237743E-05,,
1.1036974677,2.10217228773426E-05,0.9958450147,3.8434313649062E-05,,
1.2232306054,2.02461395993578E-05,1.0604322629,3.77536107243694E-05,,
1.3025653388,1.98087469804908E-05,1.1292084286,3.69502164437377E-05,,
1.3595874257,1.95207992092493E-05,1.2024451913,3.61878607822124E-05,,
1.5025361295,1.87996583758755E-05,1.2804318507,3.54295078462327E-05,,
1.599985705,1.81937458602002E-05,1.3634764696,0.000034687,,
1.6700278911,1.77903871648666E-05,1.4519070906,3.39826285084851E-05,,
1.8351031999,1.68603878755426E-05,1.5460730323,0.000033062,,
1.954121987,1.62953940163942E-05,1.6463462688,3.20387534789407E-05,,
2.0396671114,1.59644700208946E-05,1.7531228991,3.10266729840038E-05,,
2.2412797192,1.509116864709E-05,1.8668247123,3.0056507930611E-05,,
2.3866417859,1.45613486191736E-05,1.9879008528,2.91455986958638E-05,,
2.4840157996,1.42091027051581E-05,2.1168295956,2.82249108178935E-05,,
2.7217649299,1.33432219598248E-05,2.2541202346,2.73423533446908E-05,,
2.8982896947,1.28067811983117E-05,2.4003150951,2.6417364011525E-05,,
3.0165387349,1.25245792981003E-05,2.5559916758,2.53385249175155E-05,,
3.3052564882,1.17315497066375E-05,2.7217649299,2.42635643534367E-05,,
3.5196246056,1.12673580490627E-05,2.8982896947,2.32342078731823E-05,,
3.6632238574,0.000011013,3.086263278,2.22485207709305E-05,,
3.9909722009,1.03077203772149E-05,3.2864282126,2.13117016594246E-05,,
4.2498135951,9.85410809912803E-06,3.4995751897,2.04210857868883E-05,,
4.4232042604,9.6136114543941E-06,3.7265461821,1.95612145334316E-05,,
4.8189479894,8.98208137102526E-06,3.9682377702,0.000018688,,
5.1314891832,8.59249146767325E-06,4.2256046836,0.000017842,,
5.3256181423,8.36661938865826E-06,4.4996635727,1.70342392051051E-05,,
5.8186974391,7.82433841419136E-06,4.7914970242,1.62576907249061E-05,,
6.19607911,0.00000748,5.1022578383,1.55268159324639E-05,,
6.4304824859,7.28579484473724E-06,5.4331735816,1.48238917879557E-05,,
7.0258570879,6.8068065020773E-06,5.7855514369,1.41527901597368E-05,,
7.4815311825,6.50080220087733E-06,6.1607833665,0.000013521,,
7.9063065193,6.23394534025218E-06,6.5603516109,1.29302743275463E-05,,
8.4834567077,5.92356146895639E-06,6.9858345438,1.23653424358445E-05,,
9.0336659428,5.65165053803291E-06,7.4389129072,1.18250927770309E-05,,
9.5465660965,0.000005422,7.9213764502,1.13084469686859E-05,,
10.2434531205,5.15321993859772E-06,8.4351309994,1.08107956739894E-05,,
10.9078099623,4.926441975063E-06,8.9822059872,1.03384651498103E-05,,
11.5271174995,4.7388259117686E-06,9.564762468,9.89659102569281E-06,,
12.3685822239,4.49345571491778E-06,10.1851016555,9.50185980464936E-06,,
13.1707679836,4.2942907333598E-06,10.8456740122,9.13193390714958E-06,,
13.9185584119,4.13166058138301E-06,11.5490889299,8.77060333759793E-06,,
14.9345952414,3.91945758264203E-06,12.2981250368,8.42914667774615E-06,,
15.9032042067,3.74945454684906E-06,13.0957411739,8.11171370769409E-06,,
16.8061328665,3.60666226285547E-06,13.9450880831,7.79332953055645E-06,,
18.0329589105,3.42784515599152E-06,14.8495208528,7.48744190937535E-06,,
19.2025176021,3.28025068972847E-06,15.8126121716,7.19832287594615E-06,,
20.2927698091,0.000003156,16.8381664411,6.92953418308265E-06,,
21.7741158573,2.99789503157066E-06,17.9302348038,6.66636869214818E-06,,
23.1863137434,2.86976264227728E-06,19.0931311461,6.41319753471276E-06,,
24.0634733341,2.81241452950941E-06,20.3314491389,6.17372578384271E-06,,
26.2914213757,2.6253457764247E-06,21.6500803836,5.9392639089354E-06,,
27.9965969122,2.51230493268937E-06,23.0542337348,5.71559735588873E-06,,
29.0557339428,0.000002458,24.5494558765,5.50581705004544E-06,,
31.7458969395,2.29757220617929E-06,26.1416532323,5.31076137528359E-06,,
33.8048319081,2.20010009512286E-06,27.8371152973,5.12431141862948E-06,,
35.0836998148,2.14439353576498E-06,29.6425394824,4.94113604248869E-06,,
38.3319698882,2.01005578807567E-06,31.5650575708,4.76766287436033E-06,,
40.8180559916,1.92414442425978E-06,33.6122638899,4.59723637819765E-06,,
42.4834160666,1.87987805100942E-06,35.7922453102,4.43583682305423E-06,,
46.284403881,1.75619279690989E-06,38.1136131901,4.2772718936067E-06,,
49.2862588242,1.67890794766941E-06,40.5855373927,0.000004123,,
51.150803361,0.000001638,43.2177825083,3.9716830947412E-06,,
55.8866671572,1.5328692967225E-06,46.0207464265,3.82717616729516E-06,,
59.5112934675,1.46589726429746E-06,49.0055014102,3.68914762413607E-06,,
61.7626604765,0.000001429,52.1838378327,3.55492055330944E-06,,
67.4810368945,1.33705917436601E-06,55.5683107527,3.42557724111171E-06,,
71.8576360767,1.27737346645415E-06,59.1722895086,0.000003302,,
74.5760765908,0.000001249,63.0100105305,3.19455078251883E-06,,
81.48079984,1.16356358955878E-06,67.0966335767,3.09876021420344E-06,,
86.7653778245,1.11162264492841E-06,71.4483016179,2.99987979801194E-06,,
90.0477919307,1.0876074227933E-06,76.0822046048,2.90607732857184E-06,,
96.7132039649,1.02682021700168E-06,81.0166473724,2.8189368140445E-06,,
,,86.271121947,0.000002729,,
,,91.8663845442,2.64365352582697E-06,,
,,96.4373488972,2.5802714705626E-06,,
